epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.314,1.47919,1.94388,1.78598,0.4707,0.45434,0.41563,0.10206,2.31177,4.30752,2.76036,0.000553682,0.000553682,0.000553682
2,539.874,1.38798,1.50485,1.69673,0.46167,0.6403,0.44216,0.18794,1.88225,4.6542,2.14485,0.00108738,0.00108738,0.00108738
3,839.954,1.37156,1.42977,1.68388,0.77481,0.38034,0.58013,0.2285,2.07214,3.31216,2.39234,0.00159908,0.00159908,0.00159908
4,1152.21,1.34161,1.36083,1.65201,0.76129,0.72985,0.78874,0.33782,2.02811,1.46241,2.22553,0.00156798,0.00156798,0.00156798
5,1454.25,1.28076,1.27028,1.60583,0.85453,0.72859,0.85866,0.38646,1.92809,1.18281,2.04621,0.00153497,0.00153497,0.00153497
6,1739.59,1.25618,1.23396,1.59523,0.80746,0.74285,0.83799,0.33898,2.02143,1.9148,2.22905,0.00150197,0.00150197,0.00150197
7,2013.6,1.2317,1.19655,1.56722,0.93707,0.77118,0.87771,0.43256,1.73594,1.42995,1.9551,0.00146896,0.00146896,0.00146896
8,2277.97,1.19927,1.16837,1.55245,0.86081,0.69991,0.8203,0.40252,1.73865,1.96829,1.94295,0.00143595,0.00143595,0.00143595
9,2543.25,1.17144,1.12418,1.5264,0.81311,0.75194,0.8589,0.44864,1.67578,1.24027,1.90705,0.00140295,0.00140295,0.00140295
10,2808.71,1.16817,1.099,1.51698,0.88769,0.841,0.89665,0.42549,1.86713,1.02855,2.05139,0.00136994,0.00136994,0.00136994
11,3073.82,1.1421,1.08986,1.50819,0.84738,0.77664,0.87137,0.46079,1.65414,1.01426,1.84915,0.00133693,0.00133693,0.00133693
12,3340.04,1.1302,1.05309,1.4913,0.94444,0.79056,0.9335,0.50934,1.54516,1.08676,1.74299,0.00130393,0.00130393,0.00130393
13,3601.41,1.10098,1.02769,1.47422,0.88874,0.84863,0.92034,0.49395,1.52434,0.95071,1.78242,0.00127092,0.00127092,0.00127092
14,3856.38,1.08445,1.01056,1.46205,0.8811,0.86018,0.91037,0.47818,1.61277,0.93333,1.8368,0.00123791,0.00123791,0.00123791
15,4108.34,1.08456,1.00226,1.46171,0.899,0.85121,0.92443,0.5021,1.55028,0.95855,1.71081,0.00120491,0.00120491,0.00120491
16,4361.87,1.06556,0.97583,1.45012,0.89407,0.85124,0.93577,0.5496,1.46848,0.8463,1.69015,0.0011719,0.0011719,0.0011719
17,4619,1.05961,0.96687,1.44342,0.91559,0.89825,0.94245,0.57087,1.43782,0.80837,1.61569,0.00113889,0.00113889,0.00113889
18,4873.83,1.06603,0.97131,1.44702,0.93755,0.86011,0.93376,0.58013,1.31065,0.89437,1.58748,0.00110589,0.00110589,0.00110589
19,5129.17,1.04432,0.95174,1.42994,0.86167,0.88168,0.91741,0.50629,1.58702,0.95901,1.78256,0.00107288,0.00107288,0.00107288
20,5384.14,1.03637,0.94397,1.42656,0.90492,0.90588,0.94826,0.58035,1.35943,0.72854,1.55844,0.00103987,0.00103987,0.00103987
21,5637.72,1.03376,0.93746,1.4214,0.90885,0.8868,0.94383,0.55534,1.42698,0.77942,1.59644,0.00100687,0.00100687,0.00100687
22,5890.76,1.02607,0.92227,1.41085,0.92862,0.91482,0.94826,0.58093,1.36726,0.78702,1.57945,0.000973861,0.000973861,0.000973861
23,6142.4,1.01024,0.89863,1.39938,0.91174,0.87535,0.93685,0.56645,1.40274,0.77105,1.57108,0.000940855,0.000940855,0.000940855
24,6392.88,1.0151,0.90645,1.39825,0.92948,0.82452,0.89514,0.52621,1.42992,0.87721,1.67092,0.000907848,0.000907848,0.000907848
25,6644.16,1.00106,0.89543,1.39249,0.91355,0.84612,0.91782,0.57336,1.35825,0.77656,1.51961,0.000874842,0.000874842,0.000874842
26,6895.78,0.99434,0.88875,1.39141,0.92302,0.90207,0.95036,0.58792,1.3389,0.74995,1.52553,0.000841835,0.000841835,0.000841835
27,7150.9,0.98916,0.8733,1.38824,0.93312,0.89612,0.93456,0.58405,1.31812,0.77196,1.48021,0.000808828,0.000808828,0.000808828
28,7412.67,0.98191,0.86888,1.3789,0.92579,0.89616,0.9528,0.56394,1.41204,0.76735,1.60108,0.000775822,0.000775822,0.000775822
29,7672.59,0.97951,0.86272,1.37403,0.90013,0.92039,0.94312,0.58781,1.33311,0.72266,1.4931,0.000742815,0.000742815,0.000742815
30,7936.15,0.96241,0.84828,1.35658,0.89622,0.91734,0.95506,0.59886,1.34254,0.81994,1.49668,0.000709809,0.000709809,0.000709809
31,8195.65,0.94878,0.84538,1.35304,0.89297,0.9349,0.95945,0.59619,1.39346,0.69756,1.55269,0.000676802,0.000676802,0.000676802
32,8454.14,0.94583,0.83779,1.35549,0.94702,0.9084,0.96146,0.61723,1.28009,0.66342,1.465,0.000643795,0.000643795,0.000643795
33,8713.14,0.93581,0.8244,1.35244,0.92072,0.90458,0.93464,0.59189,1.2771,0.69641,1.46947,0.000610789,0.000610789,0.000610789
34,8972.67,0.95517,0.84356,1.3569,0.92583,0.89313,0.94414,0.5905,1.35207,0.77993,1.52746,0.000577782,0.000577782,0.000577782
35,9232.74,0.93089,0.81226,1.34206,0.93023,0.92366,0.94675,0.61563,1.26828,0.66287,1.4293,0.000544776,0.000544776,0.000544776
36,9491.79,0.92766,0.8089,1.33943,0.90494,0.92084,0.95567,0.58962,1.34067,0.69876,1.50086,0.000511769,0.000511769,0.000511769
37,9741.78,0.91643,0.80599,1.33064,0.90217,0.92285,0.94787,0.60955,1.27172,0.66343,1.46768,0.000478762,0.000478762,0.000478762
38,9992.53,0.9076,0.7948,1.32671,0.922,0.91221,0.95297,0.62789,1.20879,0.66584,1.39785,0.000445756,0.000445756,0.000445756
39,10242.3,0.91314,0.78828,1.32745,0.9047,0.94617,0.95297,0.62905,1.19492,0.65801,1.37571,0.000412749,0.000412749,0.000412749
40,10493.6,0.8994,0.78058,1.32309,0.90705,0.88931,0.95179,0.6165,1.26351,0.67348,1.43944,0.000379743,0.000379743,0.000379743
41,10725.1,0.71358,0.57171,1.2251,0.90297,0.88931,0.94741,0.61785,1.22227,0.71533,1.40027,0.000346736,0.000346736,0.000346736
42,10955.8,0.70963,0.53378,1.2202,0.90096,0.91697,0.95618,0.61638,1.25893,0.63015,1.42344,0.000313729,0.000313729,0.000313729
43,11186.1,0.69474,0.52622,1.20856,0.91265,0.90207,0.95105,0.62083,1.20962,0.62398,1.40828,0.000280723,0.000280723,0.000280723
44,11417.1,0.68911,0.51445,1.20367,0.91396,0.91985,0.94983,0.61624,1.22544,0.616,1.39656,0.000247716,0.000247716,0.000247716
45,11647.9,0.67703,0.51492,1.19421,0.89528,0.93823,0.94999,0.63414,1.17692,0.59201,1.37975,0.00021471,0.00021471,0.00021471
46,11880.6,0.67145,0.50198,1.19337,0.90648,0.91355,0.93847,0.62044,1.21191,0.63302,1.41463,0.000181703,0.000181703,0.000181703
47,12109.9,0.66425,0.49837,1.18464,0.9154,0.90588,0.95267,0.63449,1.1978,0.58731,1.3885,0.000148696,0.000148696,0.000148696
48,12338.6,0.65285,0.48565,1.1791,0.95132,0.89695,0.95745,0.6335,1.18172,0.57784,1.36608,0.00011569,0.00011569,0.00011569
49,12567,0.64648,0.47884,1.17249,0.94081,0.91841,0.95446,0.63472,1.18903,0.58069,1.37321,8.26832e-05,8.26832e-05,8.26832e-05
50,12797.5,0.64538,0.47953,1.16847,0.91194,0.92497,0.95578,0.64695,1.1706,0.57184,1.35349,4.96766e-05,4.96766e-05,4.96766e-05
